2298	1	6.15342465753425	4.42857142857143	5.71428571428571	3.85714285714286	38	35	27
2299	1	3.72054794520548	4.14285714285714	5.71428571428571	5.28571428571429	42	32	30
2300	0	4.07123287671233	6.14285714285714	5	5.71428571428571	27	26	23
2301	1	3.63561643835616	4	5.57142857142857	4.85714285714286	30	28	26
2302	1	4.47123287671233	4.14285714285714	4.85714285714286	3.85714285714286	42	39	44
2303	1	6.80547945205479	5.71428571428571	6	7	30	32	27
2305	0	6.52328767123288	4.71428571428571	5	5.14285714285714	44	34	33
2306	1	4.87123287671233	4.28571428571429	5.42857142857143	4.28571428571429	24	24	23
2310	1	6.74794520547945	3.57142857142857	4.57142857142857	4.14285714285714	33	44	42
2311	0	3.88493150684931	4.85714285714286	4.42857142857143	4.28571428571429	24	28	26
2313	0	4.76986301369863	4.71428571428571	4.71428571428571	5.14285714285714	31	33	23
2314	1	5.04383561643836	5.28571428571429	7	6.57142857142857	30	27	24
2315	0	3.83287671232877	4.14285714285714	4.28571428571429	4.57142857142857	31	34	27
2316	1	3.15342465753425	4.71428571428571	5.28571428571429	5.28571428571429	17	20	23
